labels,z,y,x,z_min,z_max,y_min,y_max,x_min,x_max
1,0,3206,3564,0,4,3135,3274,3493,3629
2,0,3355,2999,0,3,3315,3388,2894,3105
3,0,3820,2690,0,1,3742,3897,2666,2709
4,0,3803,2137,0,3,3778,3826,2043,2225
5,0,4014,2078,0,2,3969,4077,2015,2130
6,1,3384,2417,0,5,3314,3424,2339,2511
7,0,2413,3524,0,4,2383,2449,3418,3610
8,4,1826,3231,0,7,1680,1951,3143,3311
9,0,3234,4440,0,1,3197,3273,4431,4450
10,0,2539,5101,0,1,2483,2597,5085,5120
11,1,2876,4029,0,4,2817,2944,3976,4074
12,1,1855,1518,0,3,1715,1990,1437,1608
13,0,1215,4331,0,2,1155,1284,4308,4354
14,0,1102,5096,0,3,1055,1146,5002,5173
15,1,533,3196,0,4,465,612,3153,3235
16,0,3795,813,0,3,3739,3866,765,849
17,4,2400,2035,0,9,2341,2450,1890,2164
19,1,2538,458,0,4,2486,2592,318,616
20,0,2558,1029,0,1,2521,2597,1010,1050
21,1,3000,1605,0,4,2940,3041,1549,1661
22,0,576,3632,0,3,486,648,3572,3717
23,1,896,4356,0,3,839,945,4328,4398
24,3,3305,5544,1,6,3227,3396,5480,5622
25,1,3550,3513,0,4,3456,3648,3431,3579
26,0,1386,1129,0,2,1369,1406,1070,1207
27,0,2673,3184,0,1,2646,2702,3152,3218
28,2,2296,882,1,5,2216,2394,827,971
29,1,2381,5596,1,3,2355,2409,5526,5668
30,1,3291,1343,1,3,3229,3387,1279,1413
31,3,2290,1590,0,7,2210,2375,1526,1643
32,3,3059,4434,2,6,3006,3104,4397,4472
33,2,1194,4543,1,4,1125,1264,4508,4600
34,2,505,4338,1,5,440,583,4270,4400
35,4,706,5140,2,7,621,800,5076,5192
36,4,3472,4969,2,8,3438,3520,4871,5073
37,4,3678,4597,2,8,3608,3733,4503,4721
38,2,891,2162,1,5,843,956,2092,2226
39,4,2557,763,4,7,2530,2586,708,827
40,6,1487,1427,3,11,1348,1625,1324,1485
41,2,2974,5837,2,3,2944,3010,5804,5868
42,4,1730,4067,2,7,1643,1823,3995,4136
43,6,1145,118,2,10,1037,1261,12,193
44,24,4249,5447,23,27,4187,4329,5380,5546
